gene,base_mean,log2fc,lfc_se,stat,pvalue,padj
STC2,33.92,0.75,0.26,2.89,3.89E-03,4.07E-02
REC114,49.12,0.51,0.18,2.89,3.91E-03,4.08E-02
IGHM,12.67,1.39,0.48,2.87,4.07E-03,4.21E-02
FPR1,56.05,0.54,0.19,2.87,4.10E-03,4.23E-02
BMP5,29.86,-0.67,0.23,-2.87,4.11E-03,4.23E-02
CARMIL2,35.37,0.77,0.27,2.87,4.12E-03,4.23E-02
PCDHB2,91.87,-0.51,0.18,-2.87,4.14E-03,4.25E-02
PEG3,471.83,-0.53,0.18,-2.87,4.14E-03,4.25E-02
VWCE,29.20,0.56,0.20,2.85,4.33E-03,4.39E-02
GPR151,15.31,0.76,0.27,2.85,4.34E-03,4.39E-02
RALYL,22.15,-0.79,0.28,-2.85,4.41E-03,4.44E-02
IGKV3-15,12.18,1.44,0.51,2.84,4.55E-03,4.53E-02
SNURF,44.53,-0.57,0.20,-2.84,4.57E-03,4.55E-02
IL4I1,25.42,0.84,0.30,2.82,4.75E-03,4.68E-02
GPR171,24.53,0.71,0.25,2.82,4.78E-03,4.69E-02
THEMIS,40.16,0.84,0.30,2.82,4.82E-03,4.72E-02
CDA,247.71,0.51,0.18,2.81,4.93E-03,4.80E-02
AC093270.1,23.72,-0.86,0.30,-2.81,4.95E-03,4.81E-02
FGF18,347.15,-0.84,0.30,-2.81,4.96E-03,4.81E-02
RPS19P3,15.62,0.76,0.27,2.81,4.97E-03,4.81E-02
PADI4,103.76,0.67,0.24,2.81,5.00E-03,4.84E-02
RPS4XP14,30.00,0.58,0.21,2.80,5.08E-03,4.89E-02
KCNU1,121.91,-0.56,0.20,-2.80,5.12E-03,4.91E-02
NAGS,47.44,0.56,0.20,2.80,5.15E-03,4.92E-02
SLURP1,403.62,0.55,0.20,2.80,5.16E-03,4.93E-02
C8orf74,99.71,0.51,0.18,2.79,5.21E-03,4.98E-02
