gene,ensembl_id,log2fc,ave_expr,pvalue,padj
CCN5,ENSG00000064205,-1.1408462201418801,4.8558176052132103,3.5213146319559E-4,3.3924398041915597E-2
LHCGR,ENSG00000138039,-1.2700978298437999,0.14766264186366601,4.9917088611137195E-4,4.06936867117485E-2
CLSTN3,ENSG00000288427,1.0671003219183,6.5138391921652401,3.5231809953931799E-4,3.3924398041915597E-2
DAXX,ENSG00000206206,-3.2863129334508998,-0.22348364737151399,5.1788204941087502E-4,4.0986395041878898E-2
CSNK2B,ENSG00000206406,-3.4371177743256398,1.6321332547595699,5.1350061910638602E-4,4.0959305956674102E-2
HSFY2,ENSG00000169953,2.1885553029065701,-3.5840894694331098,7.4326505868326903E-5,1.5958121581729399E-2
LRRC10B,ENSG00000204950,1.35680755125522,0.78217560509102502,5.5034284781397299E-4,4.18743321222666E-2
ATP12A,ENSG00000075673,1.74384145744783,5.0282500396028498,4.6367223092187802E-4,3.94303228531016E-2
CHI3L2,ENSG00000064886,1.3045211159174801,4.4382355710196997,4.8506564025945702E-4,3.9843365185705797E-2
PRRC2A,ENSG00000204469,-2.6940681123067298,0.115478337570507,6.7089145434523403E-4,4.40857005681103E-2
OFD1P5Y,ENSG00000240438,2.3405980357332901,-2.65700387925768,3.4363297988535598E-4,3.3736787271936602E-2
NXPE2,ENSG00000204361,-1.1013736928087201,-1.8652293477631501,4.9746198450955703E-4,4.06936867117485E-2
LCE4A,ENSG00000187170,-1.5412775070520699,-2.4017893627738598,4.0511156879437802E-4,3.6910216361573399E-2
MUC12,ENSG00000205277,-1.46210755538137,0.31846251081911697,7.8395478460505303E-4,4.8295623591365203E-2
TNXB,ENSG00000233323,-4.1437619192489503,-1.6284759331755001,6.3695141239208399E-4,4.3807313537535197E-2
DUSP13,ENSG00000079393,1.0628000159431199,-0.79144663549164695,6.4468923754102704E-4,4.3807313537535197E-2
LDHD,ENSG00000166816,1.1535317147933599,4.6481428103602704,6.2067201947244705E-4,4.3807313537535197E-2
ENSG00000289258,ENSG00000289258,-1.3991729914014801,-2.26070137400932,4.6706114646864001E-4,3.95633631295799E-2
CNGB1,ENSG00000070729,2.28370565090606,-1.5424214999777599,4.0606810764037902E-4,3.6910216361573399E-2
LILRB5,ENSG00000277414,-1.7383591074973299,0.89435193667107704,8.2513703661898604E-4,4.9481738065351201E-2
REEP6,ENSG00000115255,1.1516250525284899,3.73669566030761,7.3370161124635303E-4,4.6385770961740999E-2
CES5A,ENSG00000261972,-1.92674966282614,-3.2146718181966198,5.3118596937064798E-4,4.1375325163048302E-2
FABP6,ENSG00000170231,1.9203583670632001,-1.8293590977937999,8.2330428356073497E-4,4.9481738065351201E-2
